[2026-04-29T04:59:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.86 | stddev=18.38 | samples=124
[2026-04-29T05:00:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.86 | stddev=18.38 | samples=125
[2026-04-29T05:01:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.75 | stddev=18.25 | samples=126
[2026-04-29T05:02:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.69 | stddev=18.19 | samples=128
[2026-04-29T05:03:13] UNBAN ip=102.89.40.38 | condition=zscore | rate=1 | baseline=0.10 | duration=expired
[2026-04-29T05:03:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.47 | stddev=17.88 | samples=132
[2026-04-29T05:04:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.36 | stddev=17.77 | samples=134
[2026-04-29T05:05:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.36 | stddev=17.77 | samples=135
[2026-04-29T05:06:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.26 | stddev=17.66 | samples=136
[2026-04-29T05:07:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.26 | stddev=17.66 | samples=136
[2026-04-29T05:08:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.26 | stddev=17.66 | samples=136
[2026-04-29T05:09:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.26 | stddev=17.66 | samples=136
[2026-04-29T05:10:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.26 | stddev=17.66 | samples=136
[2026-04-29T05:11:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.26 | stddev=17.66 | samples=136
[2026-04-29T05:12:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.26 | stddev=17.66 | samples=136
[2026-04-29T05:13:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.26 | stddev=17.66 | samples=136
[2026-04-29T05:14:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.26 | stddev=17.66 | samples=136
[2026-04-29T05:15:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.26 | stddev=17.66 | samples=136
[2026-04-29T05:16:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.26 | stddev=17.66 | samples=136
[2026-04-29T05:17:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.26 | stddev=17.66 | samples=136
[2026-04-29T05:18:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.26 | stddev=17.66 | samples=136
[2026-04-29T05:19:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:20:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:21:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:22:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:23:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:24:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:25:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:26:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:27:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:28:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:29:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
